Id,,,Percent 18 to 24 years < HS,Percent;  18 to 24 years - HS graduate,Percent; 18 to 24 years - Some college or associate's degree,Percent; 18 to 24 years >= BA,Percent;  25+ < 9th Grade,Percent;25 years and over - High school graduate (includes equivalency),"Percent;  25 years and over - Some college, no degree",Percent 25 years and over - Associate's degree,25 years and over - Bachelor's degree,25 years and over - Graduate or professional degree, Percent high school graduate or higher,,25 to 34 years - High school graduate or higher, 25 to 34 years - Bachelor's degree or higher,35 to 44 years - High school graduate or higher,,,,45 to 64 years - High school graduate or higher, 45 to 64 years - Bachelor's degree or higher,65 years and over - High school graduate or higher,,,,White alone - Bachelor's degree or higher," White alone, not Hispanic or Latino - High school graduate or higher","Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent; Estimate; Black alone - High school graduate or higher,Black alone - Bachelor's degree or higher,Asian alone - High school graduate or higher,Asian alone - Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,Some other race alone - High school graduate or higher,Some other race alone - Bachelor's degree or higher,Hispanic or Latino Origin - High school graduate or higher, Hispanic or Latino Origin - Bachelor's degree or higher, MEDIAN EARNINGS 25 years and over with earnings,,MEDIAN EARNINGS 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS Some college or associate's degree,MEDIAN EARNINGS Bachelor's degree, MEDIAN EARNINGS  Graduate or professional degree
620L500US06001,,,14.5,31.7,59.1,5.7,2.7,24.5,30.6,11,15.9,8.3,90.3,,88.1,18.7,89.1,,,,91.6,25,90.2,,,,24.9,92.8,25.8,72.6,11,82.1,36.1,85.5,13.4,63.7,8.2,71.3,11.8,32131,,21514,28647,30797,42452,59111
620L500US06002,,,12.1,29.9,40.7,9.7,4.8,22.8,27.1,8.9,18.7,10.7,88.3,,87.1,23.1,85.8,,,,88.7,29.2,90.2,,,,31.3,93.7,33.3,79.6,19.3,88.9,45.8,93,20.1,56.5,8.1,61.7,11,31800,,20563,26887,31262,40697,60512
620L500US06003,,,11.4,28.5,37.9,7.2,7.6,24.5,28.8,9.8,13.9,6.6,83.5,,85.7,17,82.8,,,,83.9,20.6,81.7,,,,21.4,91,23.6,86.8,17.3,70.8,25.1,91.9,14.5,55.8,7.5,58.8,8.9,31055,,20994,26206,31076,46970,60634
620L500US06004,,,8.4,26.5,47.2,8.1,8.6,20.3,22.9,8.9,19.1,13.3,84.5,,86.2,30.6,79.3,,,,84.8,33,86.4,,,,33.8,93.9,38.4,85.2,26.7,90.8,55.2,81.9,26.5,54.5,7.1,58.7,11.3,37243,,22293,30164,37415,52059,69739
620L500US06005,,,18.1,33.8,35.2,3.4,7.2,25.7,28.7,9.3,13.8,7.1,84.8,,82.3,14.4,80.3,,,,86.3,21.7,86.5,,,,22.1,92.8,25,76,9.5,84.5,37,56.4,11,53,6.3,57.7,7.2,32213,,19835,28214,33421,50160,63401
620L500US06006,,,11.3,30.6,43.4,6.1,2.2,17.8,25,10.9,26.4,14.2,94.4,,93.7,38.2,95,,,,95.4,42,92.6,,,,39.9,96.4,40.9,86.1,24.5,93.8,62.1,89.1,12.2,69.6,18.3,81.6,25.3,53823,,25271,32719,44352,71402,88316
620L500US06007,,,12,29.4,36.2,1.5,8.2,22.6,23.9,8.6,18.7,10.2,84,,88.3,32.9,83.3,,,,84.1,26.1,77.6,,,,32.2,93.3,37,87.5,20.5,76.3,32,80,11.2,64.7,11.5,67.6,14.6,36570,,19174,28159,34567,51923,72192
620L500US06008,,,12.9,29.6,64,11.4,4.6,23.2,28.1,10.6,18.5,9.2,89.7,,90.3,24.9,89.2,,,,90.7,28,87.5,,,,28.8,93.9,30.1,88.6,18.2,84.4,39,91.1,10.9,71.8,12.7,75.9,16.7,35959,,20052,26531,35197,49946,69547
620L500US06009,,,14.9,31.4,62,13.2,9.5,23.6,24.2,9.8,17.9,7.8,83.3,,88.9,25.7,83.1,,,,83.2,26.5,77.7,,,,26.5,93.5,31.1,89.9,20.4,78.1,33.8,75.8,9.6,64.4,8.9,67.5,11.8,37130,,20166,30362,36942,55968,72424
620L500US06010,,,12.8,28.3,30.1,2.2,5.5,15.2,21.4,7.5,27.2,18.7,90.1,,86.5,34.2,86.1,,,,91.8,48,92.2,,,,50.5,96.6,53.2,86.4,28.2,88.8,50.9,80.6,22.9,53,8.5,61,15.7,46171,,23830,30707,39535,61682,81129
